"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:11:17.4768548 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.4768634 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.4770609 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4770771 PM","Explorer.EXE","9848","QueryBasicInformationFile","D:\","SUCCESS","CreationTime: 1/1/1601 2:00:00 AM, LastAccessTime: 1/1/1601 2:00:00 AM, LastWriteTime: 1/1/1601 2:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:11:17.4770867 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:11:17.4772718 PM","svchost.exe","26384","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4773075 PM","svchost.exe","26384","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:11:17.4773266 PM","svchost.exe","26384","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:11:17.4773440 PM","svchost.exe","26384","CloseFile","D:\","SUCCESS",""
"9:11:17.4773830 PM","svchost.exe","26384","CloseFile","D:\System Volume Information\WPSettings.dat","SUCCESS",""
"9:11:17.4776719 PM","svchost.exe","26384","CreateFile","D:\System Volume Information\WPAppSettings.dat","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:11:17.4779449 PM","svchost.exe","26384","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4779805 PM","svchost.exe","26384","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:11:17.4780460 PM","svchost.exe","26384","QueryAttributeInformationVolume","D:\","SUCCESS","FileSystemAttributes: Case Preserved, Unicode, EFS, 0x200, MaximumComponentNameLength: 255, FileSystemName: FAT32"
"9:11:17.4780739 PM","svchost.exe","26384","CloseFile","D:\","SUCCESS",""
"9:11:17.4883550 PM","Explorer.EXE","9848","CreateFile","D:\AutoRun.inf","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:11:17.4884610 PM","Explorer.EXE","9848","CreateFile","D:\AutoRun.inf","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
