"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:23:04.4873295 PM","Explorer.EXE","9848","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:23:04.4873423 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:04.5012039 PM","Notepad.exe","18080","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.5012214 PM","Notepad.exe","18080","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1980 12:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:04.5012293 PM","Notepad.exe","18080","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:04.5018722 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.5018934 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:23:04.5019068 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:23:04.5019172 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:04.5019494 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.5019613 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\","SUCCESS","CreationTime: 1/1/1980 12:00:00 AM, LastAccessTime: 1/1/1980 12:00:00 AM, LastWriteTime: 1/1/1980 12:00:00 AM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: D"
"9:23:04.5019711 PM","Explorer.EXE","9848","FileSystemControl","D:\","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:23:04.5019801 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:04.5023238 PM","Notepad.exe","18080","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.5023382 PM","Notepad.exe","18080","QueryBasicInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:04.5023449 PM","Notepad.exe","18080","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:04.5052927 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.5053149 PM","Explorer.EXE","9848","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:23:04.5053264 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:05.2306105 PM","Notepad.exe","18080","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:23:05.2307150 PM","Notepad.exe","18080","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: 0x90390 (Device:0x9 Function:228 Method: 0)"
